2025-04-07 00:28:26.848 | ID: 53 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 20
2025-04-07 00:28:27.050 | ID: 56 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:27.348 | ID: 58 | Cor: VERMELHO | Tipo: SUV | Estação: 1 | Funcionário: 2 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 21
2025-04-07 00:28:27.349 | ID: 60 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 18
2025-04-07 00:28:27.349 | ID: 59 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 21
2025-04-07 00:28:27.566 | ID: 63 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 12
2025-04-07 00:28:27.852 | ID: 62 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 5 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 13
2025-04-07 00:28:27.852 | ID: 65 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 18
2025-04-07 00:28:27.852 | ID: 61 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 13
2025-04-07 00:28:28.052 | ID: 64 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 2 | Posição na Esteira da Fábrica: 2 | Loja: Loja-2 | Posição na Esteira da Loja: 19
2025-04-07 00:28:28.352 | ID: 68 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 14
2025-04-07 00:28:28.354 | ID: 66 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 3 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 14
2025-04-07 00:28:28.354 | ID: 67 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:28.555 | ID: 69 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 15
2025-04-07 00:28:28.854 | ID: 71 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 1 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:28.855 | ID: 73 | Cor: VERMELHO | Tipo: SEDAN | Estação: 2 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 15
