2025-04-07 00:28:27.310 | ID: 62 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:27.327 | ID: 63 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:27.334 | ID: 64 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:27.512 | ID: 65 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:27.610 | ID: 66 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:28.010 | ID: 67 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:28.174 | ID: 68 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:28.184 | ID: 69 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:28.234 | ID: 70 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:28.390 | ID: 71 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:28.466 | ID: 72 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:28.609 | ID: 73 | Cor: VERMELHO | Tipo: SEDAN | Estação: 2 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:28.839 | ID: 74 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:28.888 | ID: 75 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:28.942 | ID: 76 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:29.141 | ID: 77 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:29.328 | ID: 78 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:29.385 | ID: 79 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:29.579 | ID: 80 | Cor: VERDE | Tipo: SUV | Estação: 1 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:29.755 | ID: 81 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:29.781 | ID: 82 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:30.002 | ID: 83 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:30.222 | ID: 84 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:30.231 | ID: 85 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:30.407 | ID: 86 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:30.595 | ID: 87 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:30.600 | ID: 88 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:30.601 | ID: 89 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:30.786 | ID: 90 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:31.019 | ID: 91 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:31.234 | ID: 92 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:31.372 | ID: 93 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:31.462 | ID: 94 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:31.500 | ID: 95 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:31.533 | ID: 96 | Cor: AZUL | Tipo: SUV | Estação: 3 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:31.557 | ID: 97 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:31.851 | ID: 98 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:31.933 | ID: 99 | Cor: AZUL | Tipo: SEDAN | Estação: 1 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:32.238 | ID: 100 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira: 1
